Date,Mean,Month
2021-03-01,40.48672566,3
2021-04-01,30.3539823,4
2021-05-01,54.5840708,5
2021-06-01,83.31858407,6
2021-07-01,161.2035398,7
2021-08-01,69.78761062,8
2021-09-01,21.69026549,9
2021-10-01,40.69026549,10
2021-11-01,30.33628319,11
2021-12-01,53.15044248,12
2022-01-01,51.84070796,1
2022-02-01,51.68141593,2
2022-03-01,19.96460177,3
2022-04-01,32.20353982,4
2022-05-01,39.33628319,5
2022-06-01,73.4159292,6
2022-07-01,17.08849558,7
2022-08-01,15.4159292,8
2022-09-01,98.69911504,9
2022-10-01,25.48672566,10
2022-11-01,52.36283186,11
2022-12-01,57.54867257,12
