Zeit,Wert,Einheit,SPI_1,SPI_3,SPI_6,SPI_12,SPI_24
1936-12-01,33,mm,-0.8366071506222132,-0.7844464742028493,-0.24368692751761817,-0.09927735012367069,-0.49044611106559083
1937-01-01,79,mm,1.0353445714303489,-0.19007641467738157,-0.334810186149385,0.22408635699350563,-0.20837093184377842
1937-02-01,103,mm,1.9116084514511702,1.3371558427616095,0.5130603036560449,0.793102647757102,0.011643741531539584
1937-03-01,63,mm,0.44743728297162644,1.856959866238145,0.8652118903229427,1.2251052182408484,0.313916687458713
1937-04-01,85,mm,1.6463046776953374,2.0915693561022497,1.4846891741481063,0.9120982643778287,0.07201802195547166
1937-05-01,21,mm,-1.8393231649934614,0.24288672662096822,1.1032994969726655,0.9386838413232022,0.05288368665711549
1937-06-01,64,mm,-0.12969727591160007,-0.13646841015333858,1.2511789154326776,0.6464288439895977,-0.05178305882870682
1937-07-01,30,mm,-1.8861953107224423,-2.284812785031435,0.41416046682520496,-0.02779315673140039,0.06581112978240991
1937-08-01,45,mm,-0.38319094062954867,-1.2829762267106384,-0.8145050813154557,-0.12683869613888465,0.2630006889813579
1937-09-01,57,mm,0.1943684114906847,-1.1855343565635337,-0.9965276754785555,0.07006786949618456,0.06132532912969998
1937-10-01,8,mm,-2.268846562990025,-1.0767632674703769,-2.1570320328919235,-0.4311513173045167,-0.40998600161693133
1937-11-01,23,mm,-1.8834802999746194,-1.6869683186776605,-2.008286106620635,-0.5796096721706369,-0.40199571821633767
1937-12-01,53,mm,-0.023547905647311834,-2.0420200803782684,-1.9879907641686596,-0.3989073790972707,-0.3922557771708677
1938-01-01,83,mm,1.1386845072428773,-0.0385445880613336,-0.785665241373826,-0.3364565355000406,-0.07109411373023936
1938-02-01,30,mm,-0.32070429617761476,0.4401425947871503,-0.75840432355938,-1.181382549213763,-0.17815650357641355
1938-03-01,15,mm,-1.7921259977153188,-0.3371834047995636,-1.5027589193689908,-1.6711595280905065,-0.14194409559412832
1938-04-01,34,mm,-0.45126506940161604,-1.6224561269254194,-1.1309092755689423,-2.207860832743244,-0.7158901636408639
